iter	RMSE
0	0.1532337455
1	0.1517592152
2	0.1504107822
3	0.1491653644
4	0.1478177407
5	0.146604992
6	0.1453488715
7	0.143937386
8	0.1424958906
9	0.1412480372
10	0.1400097779
11	0.1388111602
12	0.1376779876
13	0.1363884391
14	0.1354833252
15	0.1343520329
16	0.1330718496
17	0.1319598302
18	0.1308466263
19	0.1297311512
20	0.1287964589
21	0.1277825374
22	0.1269091413
23	0.1259281467
24	0.1249605334
25	0.1241096772
26	0.122883678
27	0.1219587175
28	0.1209562226
29	0.1202319275
30	0.1192940641
31	0.1182284116
32	0.1172820043
33	0.1164036375
34	0.1155355507
35	0.1144364512
36	0.1135201963
37	0.1126531607
38	0.1117685866
39	0.1110396624
40	0.110328585
41	0.1093894917
42	0.1085031879
43	0.1076202445
44	0.1069383931
45	0.1060785669
46	0.1053233056
47	0.1047235499
48	0.1042469719
49	0.1034634432
50	0.1028997724
51	0.1019900794
52	0.1012240992
53	0.1004899215
54	0.09979013779
55	0.09922052115
56	0.09865257424
57	0.09789195328
58	0.09707930489
59	0.09636443377
60	0.09551055666
61	0.09467558553
62	0.09402744743
63	0.09325301883
64	0.09246628516
65	0.0918333871
66	0.09110189461
67	0.09046337389
68	0.08982779996
69	0.08922592424
70	0.08862485175
71	0.08780334304
72	0.08712733093
73	0.08652424264
74	0.0860732842
75	0.08542310983
76	0.08467696312
77	0.08409900807
78	0.08365484256
79	0.08308382222
80	0.08232025945
81	0.08160980798
82	0.0811888776
83	0.08056620843
84	0.07993070161
85	0.07938411572
86	0.07889844264
87	0.07837187706
88	0.07781088187
89	0.07730071911
90	0.07682636217
91	0.07638239889
92	0.07580686986
93	0.07520966514
94	0.07478358676
95	0.07425615352
96	0.07362305294
97	0.07315447134
98	0.07278453872
99	0.07236544201
100	0.0717537104
101	0.07117791272
102	0.07061594985
103	0.07004358908
104	0.06962572319
105	0.06911230277
106	0.06864242736
107	0.06830704158
108	0.0678260999
109	0.06725087511
110	0.06686594561
111	0.06635668891
112	0.06589836709
113	0.06545059853
114	0.06500940493
115	0.06456600794
116	0.06425511157
117	0.06366855567
118	0.06318342271
119	0.06275209586
120	0.06241899637
121	0.06205672776
122	0.06163190878
123	0.06114387689
124	0.06073853155
125	0.06035723787
126	0.06001807919
127	0.05957894001
128	0.05902414217
129	0.05871827173
130	0.05829884414
131	0.05800482458
132	0.05766706472
133	0.05737247726
134	0.05698470696
135	0.0565487208
136	0.05611283516
137	0.0557376421
138	0.05540026771
139	0.05497444585
140	0.05477334259
141	0.05445444359
142	0.05408179087
143	0.05359950607
144	0.05321676874
145	0.05281349225
146	0.05241321878
147	0.05208498415
148	0.05181270339
149	0.05152405214
150	0.05125931006
151	0.0509310999
152	0.05047097319
153	0.05005881206
154	0.04970855474
155	0.04935181362
156	0.04914705746
157	0.04887954724
158	0.0484546594
159	0.0480564954
160	0.04781726373
161	0.0476103925
162	0.04730508458
163	0.04697575163
164	0.04660274078
165	0.04627282655
166	0.04599183535
167	0.04559730097
168	0.04526141326
169	0.04497728928
170	0.04460703097
171	0.04421047892
172	0.04390116944
173	0.0435836544
174	0.04326557202
175	0.04291930768
176	0.04256374754
177	0.04216162413
178	0.04186292562
179	0.04150560473
